ID,fipsstat,state,year,vio,prop,murder,rape,assault,rob,auto,burg,larc,rpcpi,rpcim,rpcui,area,density,shalll,aftr,yr70,yr71,yr72,yr73,yr74,yr75,yr76,yr77,yr78,yr79,yr80,yr81,yr82,yr83,yr84,yr85,yr86,yr87,yr88,yr89,yr90,yr91,yr92,yr93,yr94,yr95,yr96,yr97,yr98,yr99,yr00,yr01,yr02,yr03,yr04,yr05,yr06,yr07,AK,AL,AZ,AR,CA,CO,CT,DE,FL,GA,DC,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,trnd,trndAK,trndAL,trndAZ,trndAR,trndCA,trndCO,trndCT,trndDC,trndDE,trndFL,trndGA,trndHI,trndIA,trndID,trndIL,trndIN,trndKS,trndKY,trndLA,trndMA,trndMD,trndME,trndMI,trndMN,trndMO,trndMS,trndMT,trndNC,trndND,trndNE,trndNH,trndNJ,trndNM,trndNV,trndNY,trndOH,trndOK,trndOR,trndPA,trndRI,trndSC,trndSD,trndTN,trndTX,trndUT,trndVA,trndVT,trndWA,trndWI,trndWV,trndWY,incarc_rate,unemp,stnumber,pop_b,ppb,prison_pop,prison_rate,prison_1,rpcrpo,crack,povrate,police,policerate,lpolicerate,ppx1019,ppx2029,ppx3039,ppx4049,ppx5064,ppx65o,vioarr,proparr,aovio,aopro,murarr,raparr,robarr,agaarr,burarr,lararr,autarr,aomur,aorap,aorob,aoaga,aobur,aolar,aoaut,popwm1019,popwm2029,popwm3039,popwm4049,popwm5064,popwm65o,popwf1019,popwf2029,popwf3039,popwf4049,popwf5064,popwf65o,popbm1019,popbm2029,popbm3039,popbm4049,popbm5064,popbm65o,popbf1019,popbf2029,popbf3039,popbf4049,popbf5064,popbf65o,popnm1019,popnm2029,popnm3039,popnm4049,popnm5064,popnm65o,popnf1019,popnf2029,popnf3039,popnf4049,popnf5064,popnf65o,popstate,ppwm1019,ppbm1019,ppnm1019,ppwf1019,ppbf1019,ppnf1019,ppwm2029,ppbm2029,ppnm2029,ppwf2029,ppbf2029,ppnf2029,ppwm3039,ppbm3039,ppnm3039,ppwf3039,ppbf3039,ppnf3039,ppwm4049,ppbm4049,ppnm4049,ppwf4049,ppbf4049,ppnf4049,ppwm5064,ppbm5064,ppnm5064,ppwf5064,ppbf5064,ppnf5064,ppwm65o,ppbm65o,ppnm65o,ppwf65o,ppbf65o,ppnf65o,lmur_1,lrap_1,laga_1,lrob_1,laut_1,lbur_1,llar_1,ratmur,ratrap,rataga,ratrob,rataut,ratbur,ratlar,lmur,lrap,laga,lrob,laut,lbur,llar,lnlpolicerate,lincarc_rate,lrpcim,lrpcui,lrpcrpo,lrpcpi,laovio,laopro,ratrap2,lrap2,ratvio,ratpro,lvio,lpro,mur_1,rap_1,aga_1,rob_1,aut_1,bur_1,lar_1,g_assault,ratgaga,lgaga,domvio
1,1,Alabama,1970,10185,75214,404,637,7413,1731,7696,26739,40779,782.0673828,12.43056011,2.909280062,50708,68.12647247,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1,904294,0.202491492,NA,NA,NA,68.76480103,NA,NA,NA,NA,NA,0.207447797,0.143772393,0.109298602,0.112974197,0.144602299,0.094235301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,248591,190203,145963,149116,181480,98801,238459,196872,152536,157497,201245,140990,113348,49483,33850,35750,52192,36002,115209,58827,44269,47277,64081,49230,534,652,397,235,252,268,499,633,563,401,287,250,3454557,0.0719603,0.032811198,0.0001546,0.069027402,0.033349901,0.0001444,0.055058599,0.014324,0.0001887,0.0569891,0.017028799,0.0001832,0.042252298,0.0097987,0.0001149,0.044155002,0.0128147,0.000163,0.043164998,0.0103486,6.80000011925586e-05,0.045591101,0.0136854,0.0001161,0.0525335,0.0151082,7.2900002123788e-05,0.058254901,0.018549699,8.30999997560866e-05,0.028600199,0.0104216,7.76000015321188e-05,0.040812802,0.0142507,7.23999983165413e-05,NA,NA,NA,NA,NA,NA,NA,11.69469738,18.43941116,214.5861206,50.10772705,222.7781982,774.0211182,1180.440796,2.459135532,2.914490223,5.368710995,3.914175272,5.406176567,6.65159893,7.073643208,NA,NA,2.695362091,2.454200029,4.23069191,6.661941051,NA,NA,18.43941116,2.914490223,294.8279724,2177.23999,5.68639183,7.685813427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2,1,Alabama,1971,10835,76084,524,661,7645,2005,7696,27547,40841,882.8875122,14.06223011,4.687409878,50708,68.9703598,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1,908447,0.202198491,NA,NA,NA,82.44326782,NA,NA,NA,NA,NA,0.207229599,0.148239002,0.108567901,0.111292295,0.144487903,0.096522897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,252903,198087,147384,149361,184230,102019,242128,203300,153454,157413,204638,147161,113519,53042,33874,35037,51762,36944,114945,62559,43857,46649,64067,50904,653,720,471,294,290,273,606,736,660,474,338,273,3497349,0.072312802,0.0324586,0.0001867,0.069231898,0.032866299,0.0001733,0.056639198,0.0151663,0.0002059,0.058129702,0.017887499,0.0002104,0.042141601,0.0096856,0.0001347,0.043877199,0.0125401,0.0001887,0.042706899,0.0100182,8.41000000946224e-05,0.0450092,0.0133384,0.0001355,0.052677002,0.0148004,8.28999982331879e-05,0.0585123,0.0183187,9.66000006883405e-05,0.0291704,0.0105634,7.80999980634078e-05,0.042077899,0.014555,7.80999980634078e-05,2.459136009,2.914489985,5.368710995,3.914175034,5.406177044,6.65159893,7.073643208,14.98277664,18.90003014,218.5941467,57.32913589,220.0523834,787.6537476,1167.770264,2.706901312,2.939163446,5.387216568,4.048809052,5.393865585,6.6690588,7.062851429,NA,NA,2.988332987,2.747547865,4.412110329,6.78319788,NA,NA,18.90003014,2.939163446,309.8060913,2175.476318,5.735946655,7.685002804,11.69469738,18.43941116,214.5861206,50.10772705,222.7781982,774.0211182,1180.440796,NA,NA,NA,0
3,1,Alabama,1972,10994,73053,496,660,7431,2407,6846,27714,38493,1004.435974,15.40458012,5.134860039,50708,69.81153107,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,NA,1,915527,0.202655494,NA,NA,NA,94.99491119,NA,NA,5987,169.1241455,NA,0.206593499,0.152368292,0.109071597,0.109388798,0.144901201,0.098691501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255722,205920,150560,149124,187572,105152,244750,208950,155898,156686,208743,153258,114188,56571,34420,34455,51569,37866,115188,66305,43933,46070,64322,52514,771,796,555,357,336,273,722,842,748,545,409,305,3540003,0.072237797,0.032256499,0.0002178,0.0691384,0.032538999,0.000204,0.058169398,0.015980501,0.0002249,0.059025399,0.018730201,0.0002379,0.042530999,0.0097232,0.0001568,0.044038899,0.0124104,0.0002113,0.0421254,0.009733,0.0001008,0.0442615,0.0130141,0.000154,0.052986398,0.0145675,9.4900002295617e-05,0.058966901,0.018169999,0.0001155,0.0297039,0.0106966,7.70999977248721e-05,0.0432932,0.0148345,8.62000015331432e-05,2.706901073,2.93916297,5.387217045,4.048809052,5.393866062,6.6690588,7.062850952,14.01128769,18.64405251,209.9150696,67.99429321,193.3896637,782.8806763,1087.371948,2.639863253,2.925527096,5.346703053,4.219423771,5.264707088,6.66298008,6.991518974,NA,4.700480461,3.049745798,2.813144922,4.553823471,6.912181377,NA,NA,18.64405251,2.925527096,310.5646973,2063.642334,5.738392353,7.632227898,14.98277664,18.90003014,218.5941467,57.32913589,220.0523834,787.6537476,1167.770264,NA,NA,NA,0
4,1,Alabama,1973,12390,78999,468,751,8362,2809,8039,31754,39206,1184.890991,17.14616966,3.609719992,50708,70.61526489,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.5,NA,1,923924,0.203552097,NA,NA,NA,120.3239975,NA,NA,5032,140.5288696,169.1240997,0.205634907,0.155010596,0.111256704,0.107952505,0.145137802,0.100876696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,257734,210245,156433,149210,190294,108334,246546,212820,161172,156396,212300,159349,114826,59877,35053,34105,51445,38779,115500,70289,44246,45818,64816,54117,890,862,633,409,378,283,833,963,846,614,470,353,3580759,0.071977504,0.0320675,0.0002486,0.068852998,0.032255702,0.0002326,0.058715198,0.016721901,0.0002407,0.059434298,0.0196296,0.0002689,0.043687101,0.0097893,0.0001768,0.0450106,0.0123566,0.0002363,0.041669901,0.0095245,0.0001142,0.043676801,0.0127956,0.0001715,0.053143501,0.0143671,0.0001056,0.059289102,0.0181012,0.0001313,0.0302545,0.0108298,7.89999976404943e-05,0.044501498,0.0151133,9.8600001365412e-05,2.639863014,2.925527096,5.346703053,4.219423771,5.264707088,6.66298008,6.991518974,13.06985474,20.97320747,233.5259094,78.447052,224.5054779,886.7952271,1094.907593,2.570308447,3.043245792,5.453292847,4.362423897,5.413899899,6.787613869,6.998425484,5.130632877,4.639571667,3.075389624,2.764354944,4.790188313,7.07740593,NA,NA,20.97320747,3.043245792,346.0160217,2206.208252,5.846485138,7.699030399,14.01128769,18.64405251,209.9150696,67.99429321,193.3896637,782.8806763,1087.371948,NA,NA,NA,0
5,1,Alabama,1974,13338,93976,536,811,8429,3562,9322,37841,46813,1437.833984,26.22089005,6.30629015,50708,71.54251862,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.5,NA,1,930883,0.203799203,NA,NA,NA,151.3509979,NA,NA,5290,145.8192902,140.5289001,0.204292893,0.1592457,0.1128157,0.1063243,0.144806594,0.103079699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,260148,217864,161394,149240,192994,111860,248554,219666,165933,156132,215653,165872,115105,63436,35664,33670,50901,39612,115380,74667,44600,45527,64847,55929,1008,975,733,468,412,295,934,1100,946,684,519,382,3627778,0.071709998,0.0317288,0.0002779,0.068514101,0.031804599,0.0002575,0.060054399,0.0174862,0.0002688,0.060551099,0.020582,0.0003032,0.0444884,0.0098308,0.0002021,0.045739599,0.012294,0.0002608,0.041138101,0.0092812,0.000129,0.043037899,0.0125496,0.0001885,0.053199001,0.0140309,0.0001136,0.059444901,0.0178751,0.0001431,0.0308343,0.0109191,8.13000006019138e-05,0.045722801,0.0154169,0.0001053,2.57030797,3.043246031,5.453292847,4.362423897,5.413899899,6.787613869,6.998425007,14.77488422,22.35528183,232.3460846,98.18682098,256.9617004,1043.090332,1290.404175,2.692928791,3.107062578,5.448227882,4.586872101,5.54892683,6.949943066,7.162710667,4.945413113,4.649187088,3.201173782,2.932690144,5.019601822,7.270893097,NA,NA,22.35528183,3.107062578,367.6630859,2590.456299,5.907166958,7.8595891,13.06985474,20.97320747,233.5259094,78.447052,224.5054779,886.7952271,1094.907593,NA,NA,NA,0
6,1,Alabama,1975,14201,111296,577,738,8440,4446,9767,42059,59470,1713.255981,33.07860184,22.29210091,50708,72.58213806,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.3000031,NA,1,942921,0.204533607,NA,NA,NA,198.4716034,NA,NA,5507,149.6266174,145.8193054,0.202002704,0.163907498,0.114172198,0.104866698,0.144132704,0.104878597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,260804,225964,166004,149637,195370,115219,249219,227342,170239,156244,218818,172225,115682,67726,36641,33358,50417,40300,115572,79854,45432,45424,64844,57535,1149,1110,826,530,441,295,1044,1265,1068,768,590,431,3680495,0.070861101,0.031431101,0.0003122,0.067713402,0.031401198,0.0002837,0.061395001,0.018401301,0.0003016,0.0617694,0.0216965,0.0003437,0.045103699,0.0099555,0.0002244,0.0462544,0.012344,0.0002902,0.040656801,0.0090635,0.000144,0.042451899,0.0123418,0.0002087,0.0530825,0.0136984,0.0001198,0.059453402,0.0176183,0.0001603,0.031305298,0.0109496,8.01999995019287e-05,0.046794001,0.0156324,0.0001171,2.692929029,3.107063055,5.448227882,4.586872101,5.54892683,6.949943066,7.162711143,15.67723942,20.051651,229.3169861,120.7989655,265.3719177,1142.753906,1615.815308,2.752209902,2.99831152,5.435105324,4.794127941,5.581132412,7.041196346,7.387595177,4.982367992,4.703204155,3.267557383,3.191798925,5.290646076,7.44615078,NA,NA,20.051651,2.99831152,385.8448486,3023.941162,5.955435276,8.014316559,14.77488422,22.35528183,232.3460846,98.18682098,256.9617004,1043.090332,1290.404175,NA,NA,NA,0
7,1,Alabama,1976,14248,125325,553,794,9381,3520,9614,42879,72832,2015.797974,37.56851959,21.63035965,50708,73.69720459,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,6.400000095,1,955632,0.204774797,NA,NA,NA,229.2059021,NA,NA,5500,147.1753845,149.6266022,0.199024096,0.168820098,0.115480602,0.103659101,0.144356504,0.105814002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,261034,235304,170446,150619,199068,118166,249366,236507,174255,157052,223438,177435,115398,71799,37948,33196,50349,40766,115548,84610,46779,45078,65485,58295,1259,1223,933,591,478,297,1156,1444,1194,842,648,472,3737038,0.069850497,0.030879499,0.0003369,0.066728197,0.030919701,0.0003093,0.062965401,0.019212799,0.0003273,0.063287303,0.022640901,0.0003864,0.045609899,0.0101546,0.0002497,0.046629202,0.0125177,0.0003195,0.0403044,0.008883,0.0001581,0.042025801,0.0120625,0.0002253,0.053268898,0.013473,0.0001279,0.059790101,0.017523199,0.0001734,0.031620201,0.0109086,7.95000014477409e-05,0.047480099,0.0155993,0.0001263,2.752209902,2.998311996,5.435104847,4.794127941,5.581131935,7.041195869,7.387595177,14.79781628,21.24677277,251.0276794,94.19224548,257.2625732,1147.406006,1948.923218,2.694479704,3.056205034,5.52556324,4.545337677,5.550097466,7.045258999,7.575032234,5.008142948,4.795790672,3.26515317,3.639823675,5.434620857,7.60877037,NA,NA,21.24677277,3.056205034,381.2645264,3353.591797,5.943493366,8.117787361,15.67723942,20.051651,229.3169861,120.7989655,265.3719177,1142.753906,1615.815308,NA,NA,NA,0
8,1,Alabama,1977,15293,121702,524,929,10268,3572,10359,41901,69442,2340.893066,40.81309128,18.58814049,50708,74.59515381,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,6.800000191,1,964828,0.204468697,5547,146.646286,NA,260.2338867,-0.127680704,17.64999962,7530,199.0709534,147.1753998,0.194298595,0.169562906,0.121069297,0.102626503,0.143941805,0.107731096,NA,NA,44.88999939,17.05999947,NA,NA,NA,NA,NA,NA,NA,92.01999664,40.72999954,40.11000061,44.47999954,14.32999992,19.80999947,9.68999958,258450,237600,181712,151338,201482,121814,246615,237823,184912,157546,226390,183744,113393,74912,40001,33024,49830,41451,113881,88081,48907,44722,65538,59677,1351,1360,1069,651,517,308,1258,1608,1352,911,713,507,3782571,0.068326503,0.0299778,0.0003572,0.065197699,0.0301068,0.0003326,0.0628144,0.0198045,0.0003595,0.062873401,0.023286,0.0004251,0.048039299,0.0105751,0.0002826,0.048885301,0.0129296,0.0003574,0.040009301,0.0087306,0.0001721,0.0416505,0.0118232,0.0002408,0.053265899,0.0131736,0.0001367,0.059850801,0.017326299,0.0001885,0.032203998,0.0109584,8.14000013633631e-05,0.0485765,0.0157768,0.000134,2.694479942,3.056205034,5.525562763,4.545338154,5.550096989,7.045258999,7.575032234,13.85301208,24.56001472,271.4555664,94.43312836,273.8613586,1107.738647,1835.841309,2.628502607,3.201119661,5.603798389,4.547892094,5.612621784,7.010076046,7.515258312,4.991625309,4.418840408,3.50060153,4.1914711,5.561580658,7.758287907,NA,NA,24.56001472,3.201119661,404.3017273,3217.441162,6.002161503,8.076341629,14.79781628,21.24677277,251.0276794,94.19224548,257.2625732,1147.406006,1948.923218,NA,NA,NA,0
9,1,Alabama,1978,15682,131707,499,954,10521,3708,11319,46001,74387,2794.25293,44.54544067,15.56927967,50708,75.6088028,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,5.900000095,1,974945,0.203913495,5625,146.7147217,146.6463013,307.4932861,-0.127680704,18.27499962,6038,157.4868469,199.0709991,0.189431906,0.171080098,0.125049904,0.101963401,0.143724397,0.109469801,NA,NA,43.09000015,16.12000084,NA,NA,NA,NA,NA,NA,NA,94.29000092,39.56000137,36.02999878,43.49000168,13.14999962,18.75,10.84000015,255919,241524,190213,152665,204665,125687,243812,242020,193187,158962,230049,190054,111452,77655,42136,32981,49391,42033,112284,91427,51161,44607,65597,61074,1455,1499,1214,714,552,318,1354,1791,1527,996,781,538,3833971,0.0667504,0.029069601,0.0003795,0.063592598,0.029286601,0.0003532,0.062995799,0.0202545,0.000391,0.063125104,0.0238466,0.0004671,0.0496125,0.0109902,0.0003166,0.050388198,0.0133441,0.0003983,0.039818998,0.0086023,0.0001862,0.041461401,0.0116347,0.0002598,0.053382002,0.0128825,0.000144,0.0600028,0.0171094,0.0002037,0.032782499,0.0109633,8.28999982331879e-05,0.049571101,0.015929701,0.0001403,2.628503084,3.2011199,5.603797913,4.547892094,5.612621784,7.010076046,7.515257835,13.01522636,24.88281822,274.4152222,96.71434784,295.2291565,1199.826538,1940.207642,2.566119909,3.214177608,5.614642143,4.571761608,5.68775177,7.089932442,7.570550442,5.293661594,4.543294907,3.639117479,4.121048927,5.728453159,7.935319901,44.88999939,17.05999947,24.88281822,3.214177608,409.0276184,3435.263428,6.013782501,8.141848564,13.85301208,24.56001472,271.4555664,94.43312836,273.8613586,1107.738647,1835.841309,NA,NA,NA,0
10,1,Alabama,1979,15578,144372,496,1037,9918,4127,12064,48517,83791,3358.601074,62.58847046,19.76478004,50708,76.30630493,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,6.800000191,1,981773,0.2035321,5464,141.2127075,146.7147064,379.7661133,-0.127680704,18.89999962,6344,163.9556122,157.4868011,0.184602693,0.172446802,0.128773808,0.101492502,0.143267095,0.1117483,NA,NA,56.84999847,13.89999962,NA,NA,NA,NA,NA,NA,NA,91.95999908,37.43000031,34.00999832,66.73000336,11.68999958,15.89999962,8.869999886,252372,245106,197367,153786,206476,129536,239904,244511,199930,160058,232179,196641,109016,80054,44373,32785,48788,42746,110026,93997,53511,44227,65455,62557,1535,1630,1371,778,596,325,1438,1957,1718,1075,855,587,3869340,0.0652235,0.0281743,0.0003967,0.062001299,0.028435299,0.0003716,0.063345701,0.020689299,0.0004213,0.063191898,0.024292801,0.0005058,0.0510079,0.0114678,0.0003543,0.051670302,0.0138295,0.000444,0.039744802,0.008473,0.0002011,0.041365702,0.0114301,0.0002778,0.053362101,0.0126089,0.000154,0.060004801,0.016916299,0.000221,0.0334775,0.0110474,8.3999999333173e-05,0.050820298,0.0161674,0.0001517,2.566119909,3.214178085,5.614642143,4.571762085,5.68775177,7.089931965,7.570549965,12.81872368,26.80043602,256.3227844,106.6590195,311.7844238,1253.883057,2165.511475,2.550906897,3.288418055,5.54643774,4.669637203,5.742311954,7.134000301,7.680411816,5.059341431,4.969813347,4.042022705,3.552812338,5.939555645,8.119279861,43.09000015,16.12000084,26.80043602,3.288418055,402.6009521,3731.178955,5.997945786,8.224479675,13.01522636,24.88281822,274.4152222,96.71434784,295.2291565,1199.826538,1940.207642,NA,NA,NA,0
